doi,article_title,keywords,subject_cat_desc,exemplar,cluster_label
10.1002/jcb.25808,"MiR-892a Promotes Hepatocellular Carcinoma Cells Proliferation and Invasion Through Targeting CD226 (Retracted article. See vol. 122, pg. 1970, 2021)","mir 892a proliferative, transfected mir 892a, cd226 regulating mir, mir 892a promotes, expressed mir 892a",Cell Biology,True,11
10.1002/jcb.28692,"lncRNA-ATB promotes viability, migration, and angiogenesis in human microvascular endothelial cells by sponging microRNA-195","proteins associated angiogenesis, atb dysfunction endothelial, associated angiogenesis analyzed, vascular endothelial growth, vascular endothelial",Cell Biology,True,10
10.1002/app.31222,Mechanical and Thermal Properties Enhancement of Polycarbonate Nanocomposites Prepared by Melt Compounding,"layered silicate nanocomposites, morphology nanocomposites determined, pc cloisite15a nanocomposites, silicate nanocomposites prepared, temperature pc nanocomposites",Polymer Science,True,6
10.1002/pc.22360,Effect of surface-treated TiO2 on non-isothermal crystallization behavior of poly trimethylene terephthalate nanocomposites,"ptt tio2 nanocomposites, tio2 nanocomposites prepared, treated tio2 nanocomposites, tio2 nanocomposites using, tio2 nanocomposites unlike",Materials Science,True,6
10.1002/jnr.23322,Mechanisms and Effects of Curcumin on Spatial Learning and Memory Improvement in APPswe/PS1dE9 Mice,"curcumin reduce amyloid, curcumin phytochemical agent, potential therapy alzheimer, effects mechanisms curcumin, mechanisms curcumin prevention",Neurosciences & Neurology,True,10
10.1002/we.2194,Retracted: Analysis of blade fragment risk at a wind energy facility,"wind turbine fragments, wind turbine setback, turbine fragments roads, risk posed wind, buildings risk varied",Engineering,True,2
10.1002/jcp.29050,"MicroRNA-204-3p represses colon cancer cells proliferation, migration, and invasion by targeting HMGA2","colon cancer cells, colon cancer cell, digestive tract micrornas, colon cancer, colon cancer detrimental",Physiology,True,11
10.1002/mnfr.200700259,"Modulation of steroid activity in chronic inflammation: A novel anti-inflammatory role for curcumin (Retracted Article. See vol 53, pg 309, 2009)","curcumin potential antioxidant, curcumin resveratrol increasingly, nutraceuticals curcumin polyphenol, curcumin resveratrol, polyphenols curcumin resveratrol",Food Science & Technology,True,8
10.1002/jcb.28329,"Ailanthone exerts an antitumor function on the development of human lung cancer by upregulating microRNA-195 (Retracted article. See vol. 122, pg. 489, 2021)","ailanthone lung cancer, apoptosis autophagy ailanthone, ailanthone backgroundlung cancer, ailanthone microrna, ailanthone microrna mir",Cell Biology,True,11
10.1002/jcb.26585,microRNA-383 suppresses the PI3K-AKT-MTOR signaling pathway to inhibit development of cervical cancer via down-regulating PARP2 (Withdrawn Publication),"mir 383 cancerous, mir 383 inhibitor, relationship microrna 383, protein mir 383, gene mir 383",Cell Biology,True,11
10.1002/jcp.28274,"LncRNA MT1JP functions as a tumor suppressor via regulating miR-214-3p expression in bladder cancer (Retracted article. See vol. 237, pg. 2592, 2022)","bladder cancer mt1jp, expression bladder cancer, bladder cancer progression, bladder cancer cell, target bladder cancer",Physiology,True,11
10.1002/jcb.28374,"microRNA-539 functions as a tumor suppressor in papillary thyroid carcinoma via the transforming growth factor 1/Smads signaling pathway by targeting secretory leukocyte protease inhibitor (Retracted article. See vol. 122, 2021)","mir 539 inhibit, genes regulatory mir, gene regulatory mir, mir 539 inhibitors, thyroid carcinoma",Cell Biology,True,11
10.1002/jcp.26960,MicroRNA-150 contributes to ischemic stroke through its effect on cerebral cortical neuron survival and function by inhibiting ERK1/2 axis via Mal,"microrna 150 mir, mir 150 ischemic, apoptosis furthermore mir, regulatory mechanisms mir, inhibited mir 150",Cell Biology,True,10
10.1002/jcb.26330,"MicroRNA-184 inhibits proliferation and promotes apoptosis of human colon cancer SW480 and HCT116 cells by downregulating C-MYC and BCL-2 (Retracted article. See vol. 122, 2021)","apoptosis colon cancer, human colon cancer, colon cancer cells, mir 184 inhibitor, mir 184 inhibit",Biochemistry & Molecular Biology,True,11
10.1002/cpe.4710,Evaluation of the predictive performance of the principal component two-parameter estimator,"estimator ridge regression, ridge regression estimator, regression estimator ridge, components regression estimator, squares estimator principal","Computer Science, Software Engineering",True,2
10.1002/bio.2771,"Structural characterization and optical properties of Ca2MgSi2O7:Eu2+,Dy3+ phosphor by solid-state reaction method (Retracted article. See vol. 35, pg. 163, 2020)","structure ca2mgsi2o7 eu2, phosphor prepared solid, phase structure ca2mgsi2o7, morphology sintered phosphor, elements present ca2mgsi2o7","Chemistry, Analytical",True,7
10.1002/jcb.26763,"MicroRNA-183 induces epithelial-mesenchymal transition and promotes endometrial cancer cell migration and invasion in by targeting CPEB1 (Retracted article. See vol. 122, 2021)","microrna 183 mir, microrna 183, mir 183 inhibitor, ability microrna 183, apoptosis endometrial cancer",Cell Biology,True,11
10.1002/jcb.27988,"MicroRNA-34a inhibit hepatocellular carcinoma progression by repressing hexokinase-1 (Retracted article. See vol. 123, pg. 494, 2022)","function microrna 34a, microrna 34a, mir 34a inhibit, microrna 34a mir, cells mir 34a",Biochemistry & Molecular Biology,True,11
10.1002/tox.22393,"Chronic nasal exposure to nanoparticulate TiO2 causes pulmonary tumorigenesis in male mice (Retracted article. See vol. 33, pg. 1215, 2018)","chronic inhaled tio2, inhaled tio2, inhaled tio2 nps, examine chronic tio2, nasal exposure tio2",Water Resources,True,8
10.1002/adfm.202005238,"Emerging 2D MXene/Organic Heterostructures for Future Nanodevices (Retracted article. See vol. 31, 2021)","mxene organic heterostructures, organic 2d heterostructures, 2d organic semiconductors, 2d mxene organic, mxenes organic 2d",Chemistry,True,7
10.1002/anie.201510712,Glutarimidedioxime: A Complexing and Reducing Reagent for Plutonium Recovery from Spent Nuclear Fuel Reprocessing,"plutonium purex process, recovering plutonium purex, recovering uranium plutonium, plutonium purex, recovering plutonium",Chemistry,True,7
10.1002/jcb.26567,"Effects of microrna-93 on mouse cardiac microvascular endothelial cells injury and inflammatory response by mediating SPP1 through the NF-Kappa B pathway (Retracted article. See vol. 122, 2021)","mir 93 inhibitor, inhibitor mir 93, microrna 93 mir, 93 inhibitor mir, role microrna 93",Biochemistry & Molecular Biology,True,10
10.1002/jcb.28614,Upregulation of long noncoding RNA TUG1 contributes to the development of laryngocarcinoma by targeting miR-145-5p/ROCK1 axis,"tug1 laryngocarcinoma development, tug1 decreased laryngocarcinoma, process laryngocarcinoma mir, gene tug1 laryngocarcinoma, tug1 regulated tumor",Biochemistry & Molecular Biology,True,11
10.1002/ese3.1147,Effect of coal dust parameters on gas-coal dust explosions in pipe networks,"coal dust explosions, coal dust explosion, coal dust effect, dust explosion experiments, effects coal dust",Energy & Fuels,True,3
10.1002/jcb.28664,High expression of TCF12 contributes to gastric cancer development via being target regulated by miR-183 and activating PI3K/AKT pathway (Retracted Article),"tcf12 process gastric, process gastric cancer, tcf12 phosphatidylinositol kinase, gastric cancer, downregulation tcf12 inhibit",Biochemistry & Molecular Biology,True,11
10.1002/jcb.26889,Long non-coding RNA SNHG14 contributes to gastric cancer development through targeting miR-145/SOX9 axis,"rna snhg14 gastric, snhg14 gastric cancer, pathway snhg14 mir, snhg14 contribute gastric, snhg14 inhibited expression",Cell Biology,True,11
10.1002/jcb.29381,Magnesium protects mouse hippocampal HT22 cells against hypoxia-induced injury by upregulation of miR-221,"microrna 221 mir, associated microrna 221, mg2 mechanisms associated, microrna 221, ht22 cells mg2",Cell Biology,True,10
10.1002/jcb.26720,"MicroRNA-132 attenuates LPS-induced inflammatory injury by targeting TRAF6 in neuronal cell line HT-22 (Retracted article. See vol. 122, 2021)","mir 132 hippocampal, inflammatory cytokines mir, cytokines mir 132, cytokines mir, microrna mir 132",Biochemistry & Molecular Biology,True,10
10.1002/mrm.22412,Vessel-Encoded Dynamic Magnetic Resonance Angiography Using Arterial Spin Labeling,"arterial spin labeling, noninvasive mri method, mri method vessel, vessel selective angiography, vessel angiograms reconstructed","Radiology, Nuclear Medicine & Medical Imaging",True,9
10.1002/ese3.247,Manifold learning-based fuzzy k-principal curve similarity evaluation for wind turbine condition monitoring,"fuzzy clustering principal, analysis fuzzy principal, energy features extracted, features extracted vibration, similarity analysis fuzzy",Energy & Fuels,True,2
10.1002/jcb.29431,Long noncoding RNA PCAT-1 knockdown prevents the development of ovarian cancer cells via microRNA-124-3p,"rna prostate cancer, noncoding rna prostate, rna prostate, silence pcat microrna, prostate cancer associated",Cell Biology,True,11
10.1002/jbm.b.32972,Coaxial electrospinning of P(LLA-CL)/heparin biodegradable polymer nanofibers: potential vascular graft for substitution of femoral artery,"dogs vascular grafts, vascular grafts used, vascular graft used, femoral arteries dogs, coaxial electrospinning respectively","Materials Science, Biomaterials",True,4
10.1002/jcb.26606,Effects of long non-coding RNA HOST2 on cell migration and invasion by regulating MicroRNA let-7b in breast cancer,"tumor inhibiting host2, invasion regulating microrna, microrna let 7b, expression breast cancer, cancer tissues host2",Cell Biology,True,11
10.1002/jcb.27108,"MicroRNA-150-5p affects cell proliferation, apoptosis, and EMT by regulation of the BRAF(V600E) mutation in papillary thyroid cancer cells (Retracted article. See vol. 122, pg. 598, 2021)","thyroid cancer, thyroid cancer ptc, papillary thyroid cancer, microrna mirna braf, cancer ptc common",Cell Biology,True,11
10.1002/jcb.28232,"Long noncoding RNA 00460 (LINC00460) promotes glioma progression by negatively regulating miR-320a (Retracted article. See vol. 122, 2021)","oncogenic lncrna glioma, lncrna glioma development, linc00460 glioma progression, mechanism linc00460 glioma, linc00460 glioma cell",Cell Biology,True,11
10.1002/jcb.27150,"Effects of RNA interference-mediated E-selectin gene silencing on cell adhesion molecule expression and cell-cell adhesion in vascular endothelial cells in mice with immunologic contact urticaria (Retracted article. See vol. 122, 2021)","immunologic contact urticaria, intercellular adhesion molecule, gene silencing cell, ige interleukin, inhibiting cell adhesion",Cell Biology,True,8
10.1002/jnr.10615,"Treatment with metallothionein prevents demyelination and axonal damage and increases oligodendrocyte precursors and tissue repair during experimental autoimmune encephalomyelitis (Retracted article. See vol. 97, pg. 639, 2019)","inflammation demyelination neuroglial, demyelination neuroglial damage, significant inflammation demyelination, inflammation demyelination, demyelination neuroglial",Neurosciences,True,10
10.1002/jbm.b.31590,"Push-out bond strengths of two fiber post types bonded with different dentin bonding agents (Retracted article. See vol. 100, pg. 1458, 2012)","different dentin bonding, dentin bonding, dentin bonding agents, dentin bonding agent, roots endodontically","Materials Science, Biomaterials",True,4
10.1002/ca.23029,The clinical anatomy of fibromyalgia,"fibromyalgia chronic disorders, reveals patients fibromyalgia, fibromyalgia investigated, patients fibromyalgia findings, discussed fibromyalgia",Anatomy & Morphology,True,4
10.1002/jcb.27344,"Knockdown of long noncoding RNA urothelial carcinoma-associated 1 inhibits cell viability, migration, and invasion by regulating microRNA-182 in gastric carcinoma (Retracted article. See vol. 122, pg. 772, 2021)","carcinoma associated uca1, uca1 microrna, hairpin uca1 microrna, rna urothelial carcinoma, uca1 microrna 182",Cell Biology,True,11
10.1002/jcb.26252,microRNA-145-3p inhibits non-small cell lung cancer cell migration and invasion by targeting PDK1 via the mTOR signaling pathway,"rapamycin mtor pathway, mammalian target rapamycin, cancer nsclc targeting, cell lung cancer, pdk1 mtor signaling",Biochemistry & Molecular Biology,True,11
10.1002/jcp.26328,Effects of microRNA-10a on synapse remodeling in hippocampal neurons and neuronal cell proliferation and apoptosis through the BDNF-TrkB signaling pathway in a rat model of Alzheimer's disease,"mir 10a synapse, rats alzheimer disease, cells rats alzheimer, spoptosis mir 10a, effects microrna 10a",Cell Biology,True,10
10.1002/jcb.26729,"Upregulation of Klotho potentially inhibits pulmonary vascular remodeling by blocking the activation of the Wnt signaling pathway in rats with PM2.5-induced pulmonary arterial hypertension (Retracted article. See vol. 122, 2021)","klotho inhibits pulmonary, klotho pulmonary vascular, effects klotho pulmonary, inhibits pulmonary vascular, conclusively klotho inhibits",Biochemistry & Molecular Biology,True,10
10.1002/ca.22539,Anatomy of the hip capsule and pericapsular structures: A cadaveric study,"hip capsule pericapsular, pericapsular muscles, regarding anatomy hip, anatomy hip joint, pericapsular muscles measured",Anatomy & Morphology,True,4
10.1002/jcp.27737,"LINC00707 contributes to hepatocellular carcinoma progression via sponging miR-206 to increase CDK14 (Retracted article. See vol. 237, pg. 2591, 2022)","cancers roles lncrnas, lncrnas hepatocellular carcinoma, noncoding rnas lncrnas, roles lncrnas hepatocellular, lncrnas hepatocellular",Cell Biology,True,11
10.1002/jcb.26341,"Effects of gene knockdown of CNP on ventricular remodeling after myocardial ischemia-reperfusion injury through NPRB/Cgmp signaling pathway in rats (Retracted article. See vol. 122, 2021)","effects cnp ventricular, serum cnp cgmp, cnp ventricular, cnp ventricular remodeling, rat cardiomyocytes assigned",Biochemistry & Molecular Biology,True,10
10.1002/ptr.6566,Baicalin relieves TNF-alpha-evoked injury in human aortic endothelial cells by up-regulation of miR-145,"inflammation baicalin bai, inflammation baicalin, apoptosis mir 145, cytokines bai, grade inflammation baicalin","Chemistry, Medicinal",True,10
10.1002/jcp.29557,The lncRNA SNHG3 accelerates papillary thyroid carcinoma progression via the miR-214-3p/PSMD10 axis,"snhg3 oncogenic lncrna, oncogenic lncrna ptc, thyroid carcinoma, thyroid carcinoma ptc, tumors vivo snhg3",Cell Biology,True,11
10.1002/jcp.26272,"MicroRNA-497 accelerates apoptosis while inhibiting proliferation, migration, and invasion through negative regulation of the MAPK/ERK signaling pathway via RAF-1","apoptosis mir 497, mir 497 inhibitors, mir 497 tumor, apoptosis mir, cell apoptosis mir",Physiology,True,11
10.1002/2050-7038.12328,Optimal energy dispatch in microgrids with renewable energy sources and demand response,"microgrid energy management, microgrid energy, challenging task microgrid, task microgrid, microgrid operator mgo",Engineering,True,2
10.1002/jcb.27081,"Upregulated microRNA-132 rescues cardiac fibrosis and restores cardiocyte proliferation in dilated cardiomyopathy through the phosphatase and tensin homolog-mediated PI3K/Akt signal transduction pathway (Retracted article. See vol. 122, 2021)","apoptosis cardiac fibrosis, fibrosis upregulated mir, inhibiting apoptosis cardiac, cardiac fibrosis angiotensin, cardiocyte apoptosis cardiac",Cell Biology,True,10
10.1002/ptr.2470,"Decreased FKBP12.6 expression and enhanced endothelin receptor signaling associated with arrhymogenesis in myocardial infarction rats (Retracted Article. See vol 22, pg 1698, 2008)","transient cardiac calcium, calcium transient cardiac, cardiac function calcium, cardiac calcium release, cardiac calcium",Pharmacology & Pharmacy,True,10
10.1002/jemt.20466,"A new method for the treatment of sperm samples for ultrastructural study based on the use of animal tissues as biological containers (Retracted article. See vol. 74, pg. 1209, 2011)","spermatozoa ultrastructural study, spermatozoa ultrastructural, treatment spermatozoa ultrastructural, sperm surface, mucosa sperm surface",Biology,True,0
10.1002/jcb.26273,"Knockdown of lncRNA HULC inhibits proliferation, migration, invasion, and promotes apoptosis by sponging miR-122 in osteosarcoma (Retracted article. See vol. 122, pg. 599, 2021)","osteosarcoma cells hulc, hulc osteosarcoma cells, hulc tumorigenicity osteosarcoma, mir 122 osteosarcoma, osteosarcoma cells inhibited",Cell Biology,True,11
10.1002/clc.22062,Correlation of Electrocardiographic Changes and Myocardial Fibrosis in Patients With Hypertrophic Cardiomyopathy Detected by Cardiac Magnetic Resonance Imaging,"hypertrophic cardiomyopathy hcm, myocardial lge assessed, myocardial lge hcm, hypothesis myocardial lge, detect myocardial fibrosis",Cardiovascular System & Cardiology,True,9
10.1002/pchj.157,"Boys have caught up, family influences still continue: Influences on executive functioning and behavioral self-regulation in elementary students in Germany","children executive functioning, behavioral self regulation, self regulation development, regulation development children, children behavioral self",Psychology,True,5
10.1002/ejic.200900091,"Detailed Mossbauer Characterization of Fe(2+)Fur, the Active Form of the Ferric Uptake Regulation Protein from E-coli and Density Functional Calculations on Some Related Models (Retracted article. See pg. 5449, 2009)","fur complex fe2, iron substituted ferric, complex fe2 mossbauer, complex fe2, fe2 center iron",Chemistry,True,0
10.1002/jcb.29415,Long noncoding RNA MEG3 deteriorates inflammatory damage by downregulating microRNA-101a,"apoptosis meg3 mir, meg3 deteriorated inflammatory, mir 101a cell, apoptosis meg3, alpha meg3 microrna",Cell Biology,True,10
10.1002/cpe.4718,The mechanism and experimental study on the interference of high voltage lines to navigation system,"waves prevented uav, interference air corona, navigation uav shows, navigation uav, lines navigation uav",Computer Science,True,2
10.1002/jcp.26608,Downregulated expression of microRNA-329 inhibits apoptosis of nigral dopaminergic neurons by regulating CDKN2D expression via the FoxO3a signaling pathway in rats with Parkinson's disease,"nigral dopaminergic neurons, apoptosis nigral dopaminergic, neurons nigral dopaminergic, mir 329 inhibitors, mir 329 inhibit",Physiology,True,10
10.1002/app.32930,Microencapsulation of Intumescent Flame-Retardant Agent and Application to Epoxy Resins,"microcapsules flame retardant, trimer microcapsules flame, phosphate trimer microcapsules, microcapsules flame, properties flame retardant",Polymer Science,True,6
10.1002/jcp.28853,Long noncoding RNA MEG3 is a tumor suppressor in choriocarcinoma by upregulation of microRNA-211,"inhibited lncrna meg3, lncrna meg3 choriocarcinoma, pathways lncrna meg3, cells lncrna meg3, gene lncrna meg3",Cell Biology,True,11
10.1002/ajhb.22458,"Joined at the Hip? A Paleoepidemiological Study of Developmental Dysplasia of the Hip and Its Relation to Swaddling Practices Among Indigenous Peoples of North America (Retracted article. See vol. 26, pg. 290, 2014)","prehistoric prevalence, prehistoric prevalence ddh, clinical prehistoric prevalence, prevalence ddh indigenous, prevalence archaeological populations",Anthropology,True,4
10.1002/vnl.21604,Enhanced protective properties and UV stability of poly(lactic acid)/poly(vinyl acetate)/ZnO microcapsule nanocomposite,"acid pla nanocomposites, pla nanocomposites improved, technique pla nanocomposites, pla nanocomposites characterized, pla nanocomposites prepared","Materials Science, Textiles",True,6
10.1002/jcb.28985,"Upregulation of acetylcholinesterase caused by downregulation of microRNA-132 is responsible for the development of dementia after ischemic stroke (Retracted article. See vol. 122, 2021)","microrna 132 mir, mir 132 inhibitors, apoptosis mir 132, treated mir 132, microrna 132",Biochemistry & Molecular Biology,True,10
10.1002/jcb.26270,"MicroRNA-300 promotes apoptosis and inhibits proliferation, migration, invasion and epithelial-mesenchymal transition via the Wnt/-catenin signaling pathway by targeting CUL4B in pancreatic cancer cells (Retracted article. See vol. 122, 2021)","pathway pancreatic cancer, pancreatic cancer cells, apoptosis pancreatic cancer, signaling pathway pancreatic, mir 300 inhibitors",Biochemistry & Molecular Biology,True,11
10.1002/jcb.26413,"In vivo and in vitro effects of microRNA-124 on human gastric cancer by targeting JAG1 through the Notch signaling pathway (Retracted article. See vol. 122, 2021)","jag1 notch signaling, jag1 inhibition notch, notch signaling pathway, inhibition notch signaling, mir 124 inhibitor",Biochemistry & Molecular Biology,True,11
10.1002/term.444,Effects of pro-inflammatory cytokines on mineralization potential of rat dental pulp stem cells,"cytokines induced odontogenic, pulp stem cells, cytokines cell scaffold, postnatal dental pulp, dental pulp stem",Cell Biology,True,4
10.1002/hfm.20272,"A hybrid artificial intelligence sales-forecasting system in the convenience store industry (Retracted article. See vol. 26, pg. 285, 2016)","food sales forecasting, grocery forecasting, grocery forecasting daily, sales forecasting, sales forecasting model",Ergonomics,True,2
10.1002/jcb.26894,LncRNA ATB promotes proliferation and metastasis in A549 cells by down-regulation of microRNA-494,"mechanisms lung cancer, lncrna activated transforming, pathway regulating mir, lung cancer, lncrna activated",Cell Biology,True,11
10.1002/jgm.1282,"Immunization with pseudotype baculovirus expressing envelope protein of Japanese encephalitis virus elicits protective immunity in mice (Retracted Article. See vol 11, pg 454, 2009)","vaccine pseudotype baculovirus, vaccines japanese encephalitis, recombinant pseudotype baculovirus, baculovirus pseudotyped vesicular, baculovirus mediated gene",Research & Experimental Medicine,True,8
10.1002/jcb.26459,"Suppression of long non-coding RNA LET potentiates bone marrow-derived mesenchymal stem cells (BMSCs) proliferation by up-regulating TGF-beta 1 (Retracted article. See vol. 122, 2021)","inhibited bmscs proliferation, catenin pathway bmscs, bmscs proliferation expression, regulating proliferation bone, regulating expression tgf",Cell Biology,True,11
10.1002/cpe.5533,"Multiscale fast correlation filtering tracking algorithm based on a feature fusion model (Retracted article. See vol. 34, 2022)","correlation filtering tracking, object tracking, occlusion factors tracking, promising object tracking, fast correlation filtering","Computer Science, Theory & Methods",True,2
10.1007/978-3-030-48238-1_44,RETRACTED CHAPTER: Effect of Adrenaline on Cerebral Blood Oxygenation Measured by NIRS in a Rat Asphyxia Cardiac Arrest Model,"cerebral blood oxygenation, cardiac arrest, blood oxygenation, adrenaline important pharmacologic, arrest ca resuscitation","Medicine, Research & Experimental",True,9
10.1002/jcb.27403,"MicroRNA-133a inhibits gastric cancer cells growth, migration, and epithelial-mesenchymal transition process by targeting presenilin 1 (Retracted article. See vol. 122, 2021)","apoptosis mir 133a, mir 133a inhibitor, microrna mir 133a, proteins mir 133a, apoptosis mir",Biochemistry & Molecular Biology,True,11
10.1002/ente.201300165,"High-Performance Molybdenum Dioxide-Based Anode for Dodecane-Fueled Solid-Oxide Fuel Cells (SOFCs)(Retracted article. See vol. 5, pg. 768, 2017)","moo2 based anodes, oxide fuel cells, fuel cells sofcs, anodes optimum microporous, oxide fuel",Energy & Fuels,True,7
10.1002/anie.201704704,Conversion of Methane into Methanol and Ethanol over Nickel Oxide on Ceria-Zirconia Catalysts in a Single Reactor,"conversion methane alcohols, methane methanol ethanol, methane alcohols, convert methane methanol, methane methanol",Chemistry,True,7
10.1002/jcb.26859,"MicroRNA-339-3p alleviates inflammation and edema and suppresses pulmonary microvascular endothelial cell apoptosis in mice with severe acute pancreatitis-associated acute lung injury by regulating Anxa3 via the Akt/mTOR signaling pathway (Retracted article. See vol. 122, 2021)","anxa3 inhibit akt, micrornas mirs, anxa3 targeted mir, micrornas, apoptosis pmvecs anxa3",Biochemistry & Molecular Biology,True,10
10.1002/jcp.26248,Effects of microRNA-206 and its target gene IGF-1 on sevoflurane-induced activation of hippocampal astrocytes in aged rats through the PI3K/AKT/CREB signaling pathway,"hippocampal astrocytes aged, activation hippocampal astrocytes, hippocampal astrocytes, effects microrna 206, astrocytes aged rats",Physiology,True,10
10.1002/jcb.26426,"MicroRNA-29a inhibits proliferation and motility of schwannoma cells by targeting CDK6 (Retracted article. See vol. 122, 2021)","mir 29c cell, cancer regulation mir, microrna 29 mir, microrna 29, 29a expression schwannoma",Biochemistry & Molecular Biology,True,11
10.1002/jcb.25060,"MiR-17-5p Up-Regulates YES1 to Modulate the Cell Cycle Progression and Apoptosis in Ovarian Cancer Cell Lines (Retracted article. See vol. 122, 2021)","ovarian cancer regulating, inhibition mir 17, human ovarian cancer, gene mir 17, function ovarian cancer",Biochemistry & Molecular Biology,True,11
10.1002/jcb.27633,"Overexpression of microRNA-590-3p promotes the proliferation of and inhibits the apoptosis of myocardial cells through inhibition of the NF-kappa B signaling pathway by binding to RIPK1 (Retracted article. See vol. 122, 2021)","inhibited apoptosis myocardial, signaling pathway mir, apoptosis myocardial cells, apoptosis myocardial, pathway mir",Cell Biology,True,10
10.1002/jcb.26537,"LncRNA H19 promotes epithelial-mesenchymal transition (EMT) by targeting miR-484 in human lung cancer cells (Retracted article. See vol. 122, pg. 600, 2021)","rna lncrna h19, emt lung cancer, lncrna h19 identified, lung cancer a549, apoptosis overexpression h19",Cell Biology,True,11
10.1002/jcp.29296,"Circular RNA circC3P1 restrains kidney cancer cell activity by regulating miR-21/PTEN axis and inactivating PI3K/AKT and NF-kB pathways (Retracted article. See vol. 237, pg. 1617, 2022)","circc3p1 microrna, circc3p1 microrna mir, efficacies circc3p1 microrna, apoptosis furthermore circc3p1, mir 21 cell",Cell Biology,True,11
10.1002/jcp.26843,Effect of microRNA-186 on oxidative stress injury of neuron by targeting interleukin 2 through the janus kinase-signal transducer and activator of transcription pathway in a rat model of Alzheimer's disease,"mir 186 oxidative, mir 186 inhibitor, micrornas mir function, targets alzheimer disease, therapeutic targets alzheimer",Physiology,True,10
10.1002/mana.200310289,Blow-up results for evolution problems on R-n,"global weak solutions, weak solutions equations, weak solutions, nonexistence global weak, global weak",Mathematics,True,3
